species,otolith label
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,52
Sandeel,53
Sandeel,54
Sandeel,55
Sandeel,56
Sandeel,57
Sandeel,58
Sandeel,59
Sandeel,60
Sandeel,61
Sandeel,62
Sandeel,63
Sandeel,64
Sandeel,65
Sandeel,66
Sandeel,1
Sandeel,2
Sandeel,3
Sandeel,4
Sandeel,5
Sandeel,6
Sandeel,7
Sandeel,8
Sandeel,9
Sandeel,10
Sandeel,11
Sandeel,12
Sandeel,13
Sandeel,14
Sandeel,15
Sandeel,16
Sandeel,17
Sandeel,18
Sandeel,19
Sandeel,20
Sandeel,21
Sandeel,22
Sandeel,23
Sandeel,24
Sandeel,25
Sandeel,26
Sandeel,27
Sandeel,28
Sandeel,29
Sandeel,30
Sandeel,31
Sandeel,32
Sandeel,33
Sandeel,34
Sandeel,35
Sandeel,36
Sandeel,37
Sandeel,38
Sandeel,39
Sandeel,40
Sandeel,41
Sandeel,42
Sandeel,43
Sandeel,44
Sandeel,45
Sandeel,46
Sandeel,47
Sandeel,48
Sandeel,49
Sandeel,50
Sandeel,51
Sandeel,52
Sandeel,53
Sandeel,54
Sandeel,55
Sandeel,56
Sandeel,57
Sandeel,58
Sandeel,59
Sandeel,60
Sandeel,61
Sandeel,62
Sandeel,63
Sandeel,64
Sandeel,65
Sandeel,66
Sandeel,67
Sandeel,68
Sandeel,69
Sandeel,70
Sandeel,71
Sandeel,72
Sandeel,73
Sandeel,74
Sandeel,75
Sandeel,76
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,1
Black Goby,1
Black Goby,2
Blue Whiting,1
Cod,1
Cod,2
Cod,3
Norway Pout,2
Vahl's Eelpout,1
Vahl's Eelpout,2
Vahl's Eelpout,3
Vahl's Eelpout,4
Vahl's Eelpout,5
Cephalopoda,1
Ballan Wrasse,1
Ballan Wrasse,2
Ballan Wrasse,3
Ballan Wrasse,5
Ballan Wrasse,8
Ballan Wrasse,9
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,17
Blue Whiting,18
Blue Whiting,19
Blue Whiting,20
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
Blue Whiting,5
Blue Whiting,6
Blue Whiting,7
Blue Whiting,8
Blue Whiting,9
Blue Whiting,10
Blue Whiting,11
Blue Whiting,12
Blue Whiting,13
Blue Whiting,14
Blue Whiting,15
Blue Whiting,16
Blue Whiting,1
Blue Whiting,2
Blue Whiting,3
Blue Whiting,4
